Wavelength (AA)	Flux (erg s-1 cm-2 A-1)
3000.0	2.0146657407680587e-17
3008.008008008008	2.4079323708252368e-17
3016.0160160160162	1.6919018635234072e-17
3024.024024024024	1.922775950367713e-17
3032.032032032032	2.0075411653651387e-17
3040.04004004004	1.4174005119850036e-17
3048.0480480480483	5.525296571585944e-18
3056.056056056056	8.82487016594917e-18
3064.064064064064	7.397656196764855e-18
3072.072072072072	4.099513224020743e-18
3080.0800800800803	4.1202709646626705e-18
3088.088088088088	6.371561261500948e-18
3096.096096096096	9.989481363608789e-18
3104.104104104104	9.586638693415228e-18
3112.1121121121123	7.071556897374792e-18
3120.12012012012	4.6078364976429184e-18
3128.128128128128	2.7240276014167e-18
3136.136136136136	1.680847312723476e-18
3144.1441441441443	2.819403970924946e-18
3152.152152152152	5.9606949761428906e-18
3160.16016016016	1.0145015380553437e-17
3168.168168168168	1.1576512783054838e-17
3176.1761761761763	8.980516500484212e-18
3184.1841841841842	6.909877044624121e-18
3192.192192192192	2.959169192098714e-18
3200.2002002002	3.1051244387899675e-18
3208.2082082082084	7.96730713077193e-18
3216.2162162162163	1.1142430874681263e-17
3224.224224224224	1.0441262304947574e-17
3232.2322322322325	1.4519519659446365e-17
3240.2402402402404	1.7710644149012447e-17
3248.2482482482483	2.253009188513648e-17
3256.256256256256	2.567126563853926e-17
3264.264264264264	2.391382458676434e-17
3272.2722722722724	2.689710628224948e-17
3280.2802802802803	1.8917031614672138e-17
3288.288288288288	2.2168408409164115e-17
3296.2962962962965	1.9983861362093894e-17
3304.3043043043044	1.8085437815221382e-17
3312.3123123123123	2.0142058742678066e-17
3320.32032032032	2.14276542438386e-17
3328.3283283283286	1.2522955879535983e-17
3336.3363363363364	2.2163933368442263e-17
3344.3443443443443	1.2054198130954663e-17
3352.352352352352	2.292233873517667e-17
3360.3603603603606	1.5411129639001405e-17
3368.3683683683685	1.5639889958638764e-17
3376.3763763763764	2.1093025242492365e-17
3384.3843843843842	1.1901547935851027e-17
3392.3923923923926	2.1480371988163117e-17
3400.4004004004005	2.5597729013000175e-17
3408.4084084084084	2.0621284262706124e-17
3416.4164164164163	2.261533888841093e-17
3424.4244244244246	2.0440799469538592e-17
3432.4324324324325	2.2203198370017796e-17
3440.4404404404404	2.531893965884154e-17
3448.4484484484483	2.807687172720434e-17
3456.4564564564566	2.882282484151763e-17
3464.4644644644645	2.0597375624054087e-17
3472.4724724724724	1.5264549713950868e-17
3480.4804804804808	3.003474039025233e-17
3488.4884884884887	3.323351351897837e-17
3496.4964964964965	2.6206985231935382e-17
3504.5045045045044	2.816773374483509e-17
3512.5125125125123	2.6509311424016817e-17
3520.5205205205207	2.5906112321222443e-17
3528.5285285285286	2.831436794665925e-17
3536.5365365365365	2.58743899044427e-17
3544.544544544545	2.2450074317867155e-17
3552.5525525525527	3.354626783692797e-17
3560.5605605605606	2.932092906000133e-17
3568.5685685685685	2.0963327776122824e-17
3576.5765765765764	2.4955917564196818e-17
3584.5845845845847	2.8647019717732196e-17
3592.5925925925926	3.3259863489643573e-17
3600.6006006006005	2.1204494935116273e-17
3608.608608608609	2.9308895194886383e-17
3616.6166166166167	2.2508469001629652e-17
3624.6246246246246	2.351943507910771e-17
3632.6326326326325	3.1158825924342804e-17
3640.6406406406404	3.3355462642166397e-17
3648.6486486486488	4.3320883040634465e-17
3656.6566566566567	4.8075062497008243e-17
3664.664664664665	4.3993405796846117e-17
3672.672672672673	4.036398529529774e-17
3680.680680680681	3.804312346360116e-17
3688.6886886886887	5.205109206912193e-17
3696.6966966966966	4.981238749178277e-17
3704.704704704705	3.593252784896461e-17
3712.712712712713	3.500163543426187e-17
3720.7207207207207	3.9953266853289806e-17
3728.728728728729	4.1109330293621056e-17
3736.736736736737	3.746153862776981e-17
3744.744744744745	4.055895721053296e-17
3752.7527527527527	3.5292429394508644e-17
3760.7607607607606	3.540629066440227e-17
3768.768768768769	2.4335424224829726e-17
3776.776776776777	2.0286874172611215e-17
3784.7847847847847	3.434935883652949e-17
3792.792792792793	3.355350123735663e-17
3800.800800800801	3.2044673908790775e-17
3808.808808808809	4.8141467919980387e-17
3816.8168168168168	3.667258201450042e-17
3824.8248248248246	3.1617039209654224e-17
3832.832832832833	3.909363729020218e-17
3840.840840840841	4.42430109263415e-17
3848.848848848849	4.1358210102950234e-17
3856.856856856857	2.3640881703135012e-17
3864.864864864865	4.144624977029959e-17
3872.872872872873	4.1728325192757264e-17
3880.880880880881	3.5319372272661007e-17
3888.8888888888887	4.088303799489655e-17
3896.896896896897	3.3707848779522906e-17
3904.904904904905	4.912144543601446e-17
3912.9129129129133	3.799491685193831e-17
3920.920920920921	4.6460311380265273e-17
3928.928928928929	5.775487283369812e-17
3936.936936936937	4.075441851410356e-17
3944.944944944945	4.1439993876221587e-17
3952.952952952953	3.501760408028768e-17
3960.960960960961	5.174838801791883e-17
3968.968968968969	4.97906076264454e-17
3976.9769769769773	4.6170789012191425e-17
3984.984984984985	4.1480801615214633e-17
3992.992992992993	3.9113002742117994e-17
4001.001001001001	3.127509166675403e-17
4009.009009009009	3.2880778276566107e-17
4017.017017017017	2.4434456586290774e-17
4025.025025025025	3.865447354396826e-17
4033.0330330330335	4.9013952425687766e-17
4041.0410410410414	3.537220402635712e-17
4049.0490490490492	3.776913566424259e-17
4057.057057057057	3.681019664761874e-17
4065.065065065065	4.854834418300842e-17
4073.073073073073	3.9483726033346036e-17
4081.0810810810813	4.7008372996130045e-17
4089.089089089089	4.022416376650871e-17
4097.0970970970975	5.652863094160848e-17
4105.105105105105	5.69435904153675e-17
4113.113113113113	5.424223448894451e-17
4121.121121121121	4.984911884033429e-17
4129.129129129129	4.5618820145261925e-17
4137.137137137137	5.3465152305865356e-17
4145.145145145145	5.884081225573939e-17
4153.153153153153	4.26359087411504e-17
4161.1611611611615	5.655454095014769e-17
4169.169169169169	3.8627129725813813e-17
4177.177177177177	4.542499752043422e-17
4185.185185185185	3.1143299668595617e-17
4193.193193193193	3.949531883712076e-17
4201.201201201201	3.218492693300071e-17
4209.20920920921	4.6863702394671265e-17
4217.217217217218	4.2089956081854285e-17
4225.225225225226	5.12007851194633e-17
4233.2332332332335	5.954470266149226e-17
4241.241241241241	5.694259361452435e-17
4249.249249249249	4.446166017235715e-17
4257.257257257257	4.355462730509663e-17
4265.265265265265	5.471572018186743e-17
4273.273273273273	4.6862835398624844e-17
4281.281281281281	3.456972039162466e-17
4289.28928928929	2.910533298241776e-17
4297.2972972972975	2.893482994750545e-17
4305.305305305305	3.696636964106406e-17
4313.313313313313	4.465157847275943e-17
4321.321321321321	3.782745289327979e-17
4329.32932932933	4.10313130319872e-17
4337.337337337338	3.90224509437974e-17
4345.345345345346	4.1049297757510996e-17
4353.353353353354	4.000664006102203e-17
4361.361361361362	5.135698965574345e-17
4369.369369369369	5.4368457223071905e-17
4377.377377377377	5.4642979082779807e-17
4385.385385385385	6.426274607033665e-17
4393.393393393393	5.104864228896238e-17
4401.401401401401	3.4619605579402804e-17
4409.40940940941	2.12537132548858e-17
4417.417417417418	4.1222230949068355e-17
4425.425425425426	5.919492339187696e-17
4433.4334334334335	6.13988820499143e-17
4441.441441441441	3.696420483555585e-17
4449.449449449449	2.702888944129107e-17
4457.457457457458	5.947364806877011e-17
4465.465465465466	7.381994545201268e-17
4473.473473473474	7.966471312957121e-17
4481.481481481482	8.148385270587776e-17
4489.48948948949	8.026385389249867e-17
4497.4974974974975	8.836724689276773e-17
4505.505505505505	9.0305968019808e-17
4513.513513513513	8.730600805690304e-17
4521.521521521521	8.011508537153182e-17
4529.529529529529	8.45215650398848e-17
4537.537537537538	8.212716498885918e-17
4545.545545545546	8.329344121086753e-17
4553.553553553554	7.611032530290384e-17
4561.561561561562	8.1916515126746e-17
4569.5695695695695	8.23564750517015e-17
4577.577577577578	9.487620357085692e-17
4585.585585585586	9.820269721953721e-17
4593.593593593594	8.016271743370434e-17
4601.601601601602	8.70307819130486e-17
4609.60960960961	9.284308805901229e-17
4617.617617617618	9.192661940250139e-17
4625.625625625626	8.958902317526095e-17
4633.6336336336335	8.632179383521469e-17
4641.641641641641	8.490331056190582e-17
4649.649649649649	8.567905473203818e-17
4657.657657657658	8.616022360066196e-17
4665.665665665666	9.458673106645864e-17
