id,ra,dec,zml,zml_err,odds,model_classification,probnrel,probrel,probltg,probetg,probnrel_bin,probrel_bin,probltg_bin,probetg_bin,r_petro,g_auto,e_g_auto,r_auto,e_r_auto,u_auto,e_u_auto,i_auto,e_i_auto,z_auto,e_z_auto,prob_gal,prob_star,kron_radius,photoflag_r,fwhm_r,brightstarflag,a,b,fwhm,fwhm_n,q,distance_k4,distance_k5,distance_k10,density_k4,density_k5,density_k10,separation,PROB_GAL,J0378_auto,J0395_auto,J0410_auto,J0430_auto,J0515_auto,J0660_auto,J0861_auto,e_J0378_auto,e_J0395_auto,e_J0410_auto,e_J0430_auto,e_J0515_auto,e_J0660_auto,e_J0861_auto
iDR3.SPLUS-s26s22.004554,33.923147702316484,-34.178445688103146,0.0725,0.0088659999999999,0.982331,ETG,0.102837816,0.86044306,0.026623521,0.9903818,0.0,1.0,0.0,1.0,16.024368,16.86790824669942,0.0100929290056228,16.00713992463837,0.0052128192037343,18.890794142760747,0.0768149346113205,15.538070793692816,0.0047362055629491,15.22693485026576,0.0061870906502008,0.99,0.01,3.8418796,0,3.8286116,0,5.0995345,4.577582,4.4760337,2.0323167,0.897647,0.7423568756375707,0.7516981511884203,1.289443012949535,16.18938114678727,19.736892113279183,13.4150229685617,0.0,0.99,18.36728,18.022964,18.307951,17.510048,16.51232,15.888596,15.32658,0.08598971,0.09471884,0.11085636,0.053395815,0.017620847,0.005467595,0.008519177
iDR3.SPLUS-s24s63.027305,337.2109603483163,-30.91957607393569,0.191,0.030874,0.68182,ETG,0.8515165,0.1708189,0.17632999,0.90377116,1.0,0.0,0.0,1.0,17.725018,18.46238314566673,0.0314925797283649,17.7340238597428,0.0180729534476995,20.21775985155078,0.1573418974876403,17.31780826692333,0.018132084980607,17.146211320556915,0.0288736876100301,1.0,0.0,4.05083,2,3.834024,0,3.0748918,2.880435,3.4953854,1.6983768,0.93675977,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.62413,19.468447,19.622347,19.504297,18.139929,17.658794,17.153534,0.15540476,0.24235758,0.26160145,0.23655812,0.055822957,0.018595003,0.034747243
iDR3.SPLUS-s24s63.043189,337.84781700999906,-30.22331191334913,0.2415,0.015268,0.806186,ETG,0.54164296,0.46496046,0.055747215,0.9796988,1.0,0.0,0.0,1.0,17.244917,18.621561496965818,0.0793347433209419,17.362224823401107,0.0280842818319797,20.38150499691739,0.4241753220558166,16.84903142190021,0.0261764768511056,16.6905496648815,0.0431835614144802,1.0,0.0,5.5234356,3,4.774668,0,6.1538076,4.0848875,4.2104673,2.0458286,0.6637984,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,20.132412,19.368893,19.703922,18.700724,18.030165,17.255077,16.609148,0.5717014,0.5131532,0.64091945,0.25711873,0.11103971,0.027767302,0.047549594
iDR3.SPLUS-s24s63.045069,338.7171560568334,-30.557775275012016,0.215,0.009027,0.921487,ETG,0.48229566,0.51729196,0.011982514,0.9939672,0.0,0.0,0.0,1.0,16.323536,17.36035587205616,0.0760556906461715,16.029191921341088,0.0249128267168998,17.59484911938919,0.1016565039753913,15.421946262239516,0.0215374212712049,15.093874458242878,0.0307055637240409,0.96,0.04,6.494538,3,57.169437,0,19.339357,9.470421,12.210389,5.9329195,0.48969677,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.96,17.58556,17.443432,17.715584,17.507109,16.594564,15.787012,15.169121,0.17045352,0.27074003,0.31632578,0.26298955,0.09057952,0.021687536,0.038924444
iDR3.SPLUS-s26s19.051112,29.07399567330551,-33.025226886209694,0.1025,0.011629,0.8665579999999999,ETG,0.8240824,0.20010668,0.026623884,0.9888988,1.0,0.0,0.0,1.0,17.815935,18.618061983396604,0.0374437272548675,17.82646769047854,0.0217527952045202,20.87370045979062,0.3882748484611511,17.280823847047387,0.0206184368580579,16.969359227698195,0.029417073354125,1.0,0.0,4.320337,3,3.8316917,0,3.8158472,2.6602242,3.608232,1.6580175,0.69715166,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,20.62846,19.37843,19.792015,20.1985,18.153467,17.610891,17.071898,0.49076077,0.2768021,0.3464678,0.5007539,0.059374824,0.01977862,0.037910964
iDR3.SPLUS-s24s57.003423,329.1229615559462,-31.56209363092573,0.141,0.018876,0.768454,ETG,0.24054758,0.7295746,0.008763268,0.99599224,0.0,1.0,0.0,1.0,16.343918,17.28501247297073,0.0259861890226602,16.3642915019771,0.0124356895685195,18.895701791029115,0.121300995349884,15.84036904250618,0.0125073567032814,15.538424813990645,0.0178255550563335,1.0,0.0,4.9913545,2,5.086454,0,6.9494333,6.380151,4.6503215,1.5770426,0.9180822,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.001793,18.072542,18.116522,17.955687,16.843962,16.199408,15.619665,0.23079322,0.22172126,0.17015804,0.14783087,0.042095065,0.011959286,0.021035714
iDR3.SPLUS-s24s57.005007,328.25372015287627,-31.52032331570146,0.2365,0.010352,0.902854,ETG,0.6211428,0.39216328,0.02863828,0.99117166,1.0,0.0,0.0,1.0,17.962696,19.247549940592247,0.0865363106131553,17.998631388118252,0.0314128212630748,20.591483846602856,0.3229987323284149,17.505077266672316,0.032371412962675,17.340807091134085,0.0522468611598014,1.0,0.0,5.3375025,2,4.907537,0,3.804566,3.260869,4.4293823,1.5021164,0.8570936,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,20.600939,99.0,19.82295,19.547781,18.510427,17.862818,17.214165,0.5623746,20.542942,0.45254326,0.35400236,0.10729266,0.030881168,0.050872978
iDR3.SPLUS-s24s57.015922,328.77735997417955,-31.299276539315468,0.105,0.007239,0.988951,ETG,0.24743095,0.7245745,0.031772636,0.9890365,0.0,1.0,0.0,1.0,16.584753,17.44208310272583,0.0207433365285396,16.575794020465693,0.0108713619410991,19.415710738352644,0.1360990107059478,16.10138131972171,0.011101845651865,15.83543688165702,0.0161319002509117,1.0,0.0,4.417652,2,4.981343,0,5.499431,4.8641605,4.523331,1.5339769,0.8844843,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.050987,18.894722,18.44023,18.252165,17.020016,16.441835,15.943982,0.16843712,0.32772797,0.15510985,0.13152987,0.03407138,0.010803141,0.019602077
iDR3.SPLUS-s26s22.032496,34.17198739900744,-33.48474374421386,0.224,0.00947,0.958265,ETG,0.761098,0.26081666,0.23287731,0.9033235,1.0,0.0,0.0,1.0,17.953547,19.189293289599707,0.071191482245922,17.973862982243848,0.0259830020368099,20.732870204824707,0.4115713536739349,17.507971688585165,0.0239351354539394,17.1591155881037,0.0317566469311714,1.0,0.0,4.8027306,2,3.3995786,0,3.6836145,3.5636213,3.4928756,1.5859195,0.96742517,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,22.01236,20.514177,99.0,19.982607,18.972141,17.853554,17.33434,2.39916,0.92056715,20.638567,0.47293955,0.14415307,0.02668181,0.046127014
iDR3.SPLUS-s26s22.034258,34.54119639871505,-33.4406331757123,0.1425,0.005892,0.993275,ETG,0.49712345,0.5055543,0.092688374,0.96835417,0.0,0.0,0.0,1.0,17.54845,18.500696095616263,0.0372626632452011,17.51786319409354,0.0166542623192071,20.12377316147022,0.2202995270490646,17.117773637796574,0.0164457112550735,16.751163372533455,0.0213349387049675,1.0,0.0,4.6203985,2,3.275528,0,4.3765883,3.142975,3.5699425,1.6209112,0.71813357,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.4256,21.409163,19.839176,19.41255,18.203823,17.310682,16.784557,0.2100677,1.9588667,0.40890485,0.27175054,0.0699445,0.01596294,0.027375063
