splus-filters/uJAVA.dat,splus-filters/F0378.dat,splus-filters/F0395.dat,splus-filters/F0410.dat,splus-filters/F0430.dat,splus-filters/gSDSS.dat,splus-filters/F0515.dat,splus-filters/rSDSS.dat,splus-filters/F0660.dat,splus-filters/iSDSS.dat,splus-filters/F0861.dat,splus-filters/zSDSS.dat
1.023571009483056393e+01,1.019052285085416010e+01,9.927969534656826411e+00,9.953644045218675629e+00,9.925278345919258172e+00,1.002042642318488497e+01,1.007409193264791547e+01,9.911876782317152745e+00,8.492979963914498498e+00,1.043192653486236132e+01,1.056909159935450937e+01,1.054910294703171125e+01
1.123227839219051027e+01,1.107487592851490099e+01,1.079306239020847791e+01,1.080077216007397389e+01,1.075465317713812219e+01,1.080223714322053574e+01,1.081563080664727572e+01,1.062247969586665342e+01,9.325646284210298731e+00,1.100331286100133177e+01,1.108735814571338274e+01,1.106438437175593315e+01
1.212733063059418193e+01,1.187922173644614965e+01,1.158094506515689837e+01,1.157373764540685634e+01,1.151338382506000890e+01,1.151890347060655095e+01,1.149890044301251102e+01,1.128796452386809257e+01,1.013649782018982570e+01,1.153960182074437846e+01,1.157670943790412288e+01,1.155134895796997618e+01
1.294278935903371242e+01,1.262535241533511687e+01,1.231150390848634579e+01,1.229056898253759833e+01,1.221686328377995601e+01,1.218386644166625921e+01,1.213445162431811220e+01,1.190993869798554705e+01,1.091883090628117436e+01,1.204475999851209700e+01,1.204027129570305199e+01,1.201231401064666748e+01
1.370409617884627274e+01,1.333345122766800195e+01,1.300378013924928133e+01,1.296907750444092322e+01,1.288128663127732487e+01,1.281111677226789958e+01,1.273418523579757711e+01,1.249300567726096212e+01,1.166579200375805137e+01,1.252377926716244438e+01,1.248188927630060086e+01,1.245053977178087301e+01
1.443200320298156392e+01,1.401843382870696253e+01,1.367227800532331550e+01,1.362323938827292658e+01,1.352004297477272665e+01,1.341241473215921154e+01,1.330876073070231236e+01,1.304355964810502577e+01,1.237162681077453819e+01,1.298183603711532008e+01,1.290557196038694521e+01,1.286958772671043327e+01
1.028199682354845557e+01,1.013863744781269283e+01,9.955099401328736164e+00,1.000228558775079968e+01,9.979051743184696122e+00,1.001153381244922791e+01,9.823172706820267663e+00,9.970215044760072587e+00,8.617134037050066198e+00,1.043948612034379941e+01,1.056745645845347248e+01,1.053051604308165246e+01
1.127962259901979003e+01,1.105905886069966293e+01,1.082405899718161812e+01,1.083937307246470816e+01,1.079266944783650395e+01,1.078419446955785155e+01,1.061015368572691564e+01,1.064288115667830148e+01,9.433580822715819991e+00,1.095727318213917378e+01,1.102650026259082416e+01,1.099021870807889734e+01
1.217571802501363898e+01,1.189212471153477857e+01,1.161495880268291181e+01,1.160427912290326979e+01,1.153850536822459638e+01,1.149343278717074490e+01,1.133333103756139515e+01,1.127153450404153467e+01,1.022310724771011969e+01,1.144648041893549895e+01,1.146437242012031454e+01,1.142787835840174715e+01
1.299200069199125274e+01,1.265825289996643654e+01,1.234759676704355691e+01,1.231535732043908915e+01,1.223256429427285319e+01,1.215274893503340614e+01,1.200053732734085266e+01,1.186035621610231239e+01,1.097879906010430240e+01,1.191241400474181056e+01,1.188506108054349575e+01,1.184696072117716703e+01
1.375385633510524208e+01,1.337900627554753363e+01,1.304118225852535495e+01,1.299008644174344873e+01,1.289066267322267656e+01,1.277584040979373547e+01,1.262337078423603920e+01,1.241554414246475524e+01,1.169452095976223838e+01,1.236015099335623368e+01,1.229223802586940373e+01,1.225093725212719953e+01
